Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
491,DINOSAUR,(D)DINOSAUR,(D)DINOSAUR,6662,6784,6712,6734,D,B-xd,D,B-xd,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DINOSAUR
492,DINOSAUR,(D)DINOSAUR,(D)DINOSAUR,425,553,475,503,D,B,D,B,ASL_2011_06_14_Brady_scene10-camera1.mov,Lexical Signs,DINOSAUR
2841,DINOSAUR,DINOSAUR,DINOSAUR+,865,1000,915,950,flat-O,psv,flat-O,psv,ASL_2008_08_06_scene18-camera1.mov,Lexical Signs,DINOSAUR
2842,DINOSAUR,DINOSAUR,DINOSAUR++,1032,1190,1082,1140,flat-O,psv,flat-O,psv,ASL_2008_01_18_scene18-camera1.mov,Lexical Signs,DINOSAUR
2843,DINOSAUR,DINOSAUR,DINOSAUR++,922,1067,972,1017,flat-O,psv,flat-O,psv,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DINOSAUR
598,DIPLOMA,(O)DIPLOMA,(O)DIPLOMA,1485,1617,1535,1567,O,O,O,O,ASL_2008_01_18_scene18-camera1.mov,Lexical Signs,DIPLOMA
599,DIPLOMA,(O)DIPLOMA,(O)DIPLOMA,317,459,367,409,O,O,O,O,ASL_2008_02_15_scene40-camera1.mov,Lexical Signs,DIPLOMA
600,DIPLOMA,(O)DIPLOMA,(O)DIPLOMA,1450,1581,1500,1531,O,O,O,O,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DIPLOMA
601,DIPLOMA,(O)DIPLOMA,(O)DIPLOMA,1312,1437,1362,1387,O,O,O,O,ASL_2008_08_06_scene18-camera1.mov,Lexical Signs,DIPLOMA
602,DIPLOMA,(O)DIPLOMA,(O)DIPLOMA,1621,1750,1671,1700,O,O,O,O,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DIPLOMA
2844,DIPLOMA,DIPLOMA,DIPLOMA,1265,1395,1315,1345,F,F,F,F,ASL_2008_01_18_scene18-camera1.mov,Lexical Signs,DIPLOMA
2845,DIPLOMA,DIPLOMA,DIPLOMA,1235,1375,1285,1325,F,F,F,F,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DIPLOMA
2846,DIPLOMA,DIPLOMA,DIPLOMA,1080,1201,1130,1151,F,F,F,F,ASL_2008_08_06_scene18-camera1.mov,Lexical Signs,DIPLOMA
2847,DIPLOMA,DIPLOMA,DIPLOMA,6927,7045,6977,6995,F,F,F,F,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIPLOMA
2848,DIRECT,DIRECT,DIRECT+,1722,1870,1772,1820,D,D,D,D,ASL_2008_01_18_scene18-camera1.mov,Lexical Signs,DIRECT
2849,DIRECT,DIRECT,DIRECT+,6750,6880,6800,6830,D,D,D,D,ASL_2008_05_12b_scene15-camera1.mov,Lexical Signs,DIRECT
2850,DIRECT,DIRECT,DIRECT+,1670,1811,1720,1761,D,D,D,D,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DIRECT
2851,DIRECT,DIRECT,DIRECT+,1600,1740,1650,1690,D,D,D,D,ASL_2008_08_06_scene18-camera1.mov,Lexical Signs,DIRECT
3489,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN+,2015,2160,2065,2110,F,F,F,F,ASL_2008_01_18_scene36-camera1.mov,Lexical Signs,DIRECT
3490,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN+,2239,2379,2289,2329,F,F,F,F,ASL_2008_05_29a_scene16-camera1.mov,Lexical Signs,DIRECT
3491,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN+,2480,2624,2530,2574,F,F,F,F,ASL_2008_08_06_scene36-camera1.mov,Lexical Signs,DIRECT
3492,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN+,6613,6755,6663,6705,F,F,F,F,ASL_2011_06_14_Brady_scene14-camera1.mov,Lexical Signs,DIRECT
3493,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN+,1224,1389,1274,1339,F,F,F,F,ASL_2007_05_24_scene13-camera1.mov,Lexical Signs,DIRECT
3494,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN++,2055,2235,2105,2185,F,F,F,F,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DIRECT
3495,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN++,1159,1314,1209,1264,F,F,F,F,ASL_2006_10_10_scene9-camera1.mov,Lexical Signs,DIRECT
39812,DIRECT+AGENT,DIRECT+AGENT,DIRECT+AGENT,1941,2102,1991,2052,D,D,B-L,B-L,ASL_2008_01_18_scene18-camera1.mov,Compound Signs,DIRECT+AGENT
39813,DIRECT+AGENT,DIRECT+AGENT,DIRECT+AGENT,1970,2114,2020,2064,D,D,B-L,B-L,ASL_2008_05_12b_scene17-camera1.mov,Compound Signs,DIRECT+AGENT
39814,DIRECT+AGENT,DIRECT+AGENT,DIRECT+AGENT,1865,2006,1915,1956,D,D,B-L,B-L,ASL_2008_08_06_scene18-camera1.mov,Compound Signs,DIRECT+AGENT
39815,DIRECT+AGENT,DIRECT+AGENT,DIRECT+AGENT,1817,1938,1867,1888,D,D,B-L,B-L,ASL_2011_06_14_Brady_scene5-camera1.mov,Compound Signs,DIRECT+AGENT
2852,DIRTY,DIRTY,DIRTY,2360,2520,2410,2470,5,,5,,ASL_2008_01_18_scene18-camera1.mov,Lexical Signs,DIRTY
2853,DIRTY,DIRTY,DIRTY,2200,2340,2250,2290,5,,5,,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DIRTY
2854,DIRTY,DIRTY,DIRTY,2661,2795,2711,2745,5,,5,,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DIRTY
2855,DIRTY,DIRTY,DIRTY,2988,3111,3038,3061,5,,5,,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DIRTY
2856,DIRTY,DIRTY,DIRTY,344,477,394,427,5,,5,,ASL_2006_10_10_scene7-camera1.mov,Lexical Signs,DIRTY
2857,DIRTY,DIRTY,DIRTY,369,510,419,460,5,,5,,ASL_2007_05_24_scene11-camera1.mov,Lexical Signs,DIRTY
2858,DISAGREE,DISAGREE,DISAGREE,2932,3052,2982,3002,1,1,1,1,ASL_2008_05_12b_scene17-camera1.mov,Lexical Signs,DISAGREE
41051,THINK+OPPOSITE,THINK+OPPOSITE,THINK+OPPOSITE,165,315,215,265,1,,1,1,ASL_2008_01_18_scene19-camera1.mov,Compound Signs,DISAGREE
41052,THINK+OPPOSITE,THINK+OPPOSITE,THINK+OPPOSITE,2539,2657,2589,2607,1,,1,1,ASL_2008_08_06_scene18-camera1.mov,Compound Signs,DISAGREE
41053,THINK+OPPOSITE,THINK+OPPOSITE,THINK+OPPOSITE,2076,2196,2126,2146,1,,bent-1,1,ASL_2011_06_14_Brady_scene5-camera1.mov,Compound Signs,DISAGREE
41054,THINK+OPPOSITE,THINK+OPPOSITE,THINK+OPPOSITE,1373,1502,1423,1452,1,,1,1,ASL_2006_10_10_scene7-camera1.mov,Compound Signs,DISAGREE
41055,THINK+OPPOSITE,THINK+OPPOSITE,THINK+OPPOSITE,1442,1590,1492,1540,1,,1,1,ASL_2007_05_24_scene11-camera1.mov,Compound Signs,DISAGREE
2859,DISAPPEAR,DISAPPEAR,DISAPPEAR,385,505,435,455,1,B-L,S,B-L,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISAPPEAR
2860,DISAPPEAR,DISAPPEAR,DISAPPEAR,197,327,247,277,1,B-L,S,B-L,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISAPPEAR
2861,DISAPPEAR,DISAPPEAR,DISAPPEAR,130,255,180,205,L,5,10,5,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISAPPEAR
2862,DISAPPEAR,DISAPPEAR,DISAPPEAR,3411,3533,3461,3483,1,B-L,S,B-L,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISAPPEAR
2863,DISAPPEAR,DISAPPEAR,DISAPPEAR,1517,1630,1567,1580,1,B-L,S,B-L,ASL_2006_10_10_scene7-camera1.mov,Lexical Signs,DISAPPEAR
2864,DISAPPOINT,DISAPPOINT,DISAPPOINT,582,720,632,670,1,,1,,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISAPPOINT
2865,DISAPPOINT,DISAPPOINT,DISAPPOINT,4438,4585,4488,4535,1,,1,,ASL_2008_02_15_scene6-camera1.mov,Lexical Signs,DISAPPOINT
2866,DISAPPOINT,DISAPPOINT,DISAPPOINT,400,537,450,487,1,,1,,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISAPPOINT
2867,DISAPPOINT,DISAPPOINT,DISAPPOINT,2335,2462,2385,2412,1,,1,,ASL_2008_06_10_scene16-camera1.mov,Lexical Signs,DISAPPOINT
2868,DISAPPOINT,DISAPPOINT,DISAPPOINT,470,592,520,542,bent-1,,bent-1,,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISAPPOINT
2869,DISAPPOINT,DISAPPOINT,DISAPPOINT,3645,3774,3695,3724,1,,1,,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISAPPOINT
2870,DISAPPOINT,DISAPPOINT,DISAPPOINT,5222,5347,5272,5297,1,,1,,ASL_2011_06_14_Brady_scene18-camera1.mov,Lexical Signs,DISAPPOINT
2871,DISAPPOINT,DISAPPOINT,DISAPPOINT,2539,2662,2589,2612,1,,1,,ASL_2011_07_19_Brady_scene3-camera1.mov,Lexical Signs,DISAPPOINT
2872,DISAPPOINT,DISAPPOINT,DISAPPOINT,2378,2483,2428,2433,1,,1,,ASL_2006_10_10_scene18-camera1.mov,Lexical Signs,DISAPPOINT
2873,DISAPPOINT,DISAPPOINT,DISAPPOINT,2336,2471,2386,2421,1,,1,,ASL_2007_05_24_scene20-camera1.mov,Lexical Signs,DISAPPOINT
207747,DISCIPLINE,(nd-1)DISCIPLINE,(nd-1)DISCIPLINE,3850,3976,3900,3926,D,1,D,1,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCIPLINE
570,DISCIPLINE,(nd-1)DISCIPLINE,(nd-1)DISCIPLINE++,700,841,750,791,D,1,D,1,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISCIPLINE
2874,DISCIPLINE,DISCIPLINE,DISCIPLINE,830,975,880,925,D,flat-B,D,flat-B,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISCIPLINE
2875,DISCIPLINE,DISCIPLINE,DISCIPLINE,1050,1180,1100,1130,D,flat-B,D,flat-B,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISCIPLINE
2876,DISCONNECT,DISCONNECT,DISCONNECT,1065,1196,1115,1146,F,F,5,5,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISCONNECT
2877,DISCONNECT,DISCONNECT,DISCONNECT,3020,3150,3070,3100,8,8,5,5,ASL_2008_02_29_scene9-camera1.mov,Lexical Signs,DISCONNECT
2878,DISCONNECT,DISCONNECT,DISCONNECT,1260,1400,1310,1350,F,F,5,5,ASL_2008_02_29_scene10-camera1.mov,Lexical Signs,DISCONNECT
2879,DISCONNECT,DISCONNECT,DISCONNECT,898,1025,948,975,8,8,5,5,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISCONNECT
2880,DISCONNECT,DISCONNECT,DISCONNECT,1321,1445,1371,1395,8,8,25,25,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISCONNECT
2881,DISCONNECT,DISCONNECT,DISCONNECT,4104,4222,4154,4172,8,8,5,5,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCONNECT
2882,DISCONNECT,DISCONNECT,DISCONNECT,2917,3036,2967,2986,8,8,5,5,ASL_2011_07_19_Brady_scene54-camera1.mov,Lexical Signs,DISCONNECT
2883,DISCONNECT,DISCONNECT,DISCONNECT,3163,3277,3213,3227,F,F,5,5,ASL_2011_07_19_Brady_scene54-camera1.mov,Lexical Signs,DISCONNECT
2884,DISCONNECT,DISCONNECT,DISCONNECT,2782,2904,2832,2854,8,8,5,5,ASL_2011_07_22_Brady_scene50-camera1.mov,Lexical Signs,DISCONNECT
2885,DISCRIMINATE,DISCRIMINATE,DISCRIMINATE,1577,1717,1627,1667,D,B-L,D,B-L,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISCRIMINATE
2886,DISCRIMINATE,DISCRIMINATE,DISCRIMINATE,1492,1640,1542,1590,D,B-L,D,B-L,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISCRIMINATE
2887,DISCRIMINATE,DISCRIMINATE,DISCRIMINATE,1782,1925,1832,1875,D,B-L,D,B-L,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISCRIMINATE
2888,DISCRIMINATE,DISCRIMINATE,DISCRIMINATE,4761,4902,4811,4852,D,B-L,D,B-L,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCRIMINATE
2889,DISCUSS,DISCUSS,DISCUSS+,201,340,251,290,1,B-L,1,B-L,ASL_2008_01_18_scene13-camera1.mov,Lexical Signs,DISCUSS
2890,DISCUSS,DISCUSS,DISCUSS+,2970,3105,3020,3055,1,B-L,1,B-L,ASL_2008_08_06_scene12-camera1.mov,Lexical Signs,DISCUSS
2891,DISCUSS,DISCUSS,DISCUSS+,1774,1900,1824,1850,1,B-L,1,B-L,ASL_2006_10_10_scene7-camera1.mov,Lexical Signs,DISCUSS
2892,DISCUSS,DISCUSS,DISCUSS++,1790,1935,1840,1885,1,B-L,1,B-L,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISCUSS
2893,DISCUSS,DISCUSS,DISCUSS++,1710,1855,1760,1805,1,B-L,1,B-L,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISCUSS
2894,DISCUSS,DISCUSS,DISCUSS++,2060,2201,2110,2151,1,B-L,1,B-L,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISCUSS
2895,DISCUSS,DISCUSS,DISCUSS+++,9707,9859,9757,9809,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DISCUSS
2896,DISCUSS,DISCUSS,DISCUSS+++,5009,5153,5059,5103,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCUSS
2897,DISCUSS,DISCUSS-INTENSELY,DISCUSS-INTENSELY+,3135,3286,3185,3236,1,B-L,1,B-L,ASL_2008_05_12b_scene12-camera1.mov,Lexical Signs,DISCUSS
2898,DISCUSS,DISCUSS-INTENSELY,DISCUSS-INTENSELY+,1903,2091,1953,2041,1,B-L,1,B-L,ASL_2007_05_24_scene11-camera1.mov,Lexical Signs,DISCUSS
2899,DISGUST,DISGUST,DISGUST+,2015,2200,2065,2150,5,,5-C,,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISGUST
2900,DISGUST,DISGUST,DISGUST+,1034,1225,1084,1175,5-C,,5-C,,ASL_2008_02_29_scene31-camera1.mov,Lexical Signs,DISGUST
2901,DISGUST,DISGUST,DISGUST+,2295,2430,2345,2380,5-C-L,,5-C-L,,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISGUST
2902,DISGUST,DISGUST,DISGUST+,1356,1518,1406,1468,5-C,,5-C,,ASL_2011_07_19_Brady_scene82-camera1.mov,Lexical Signs,DISGUST
2903,DISGUST,DISGUST,DISGUST++,1935,2086,1985,2036,5-C,,5-C,,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISGUST
2904,DISGUST,DISGUST,DISGUST++,5219,5346,5269,5335,5,,5-C,,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISGUST
2906,DISH,DISH,DISH,115,271,165,221,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene2-camera1.mov,Lexical Signs,DISH
2907,DISH,DISH,DISH,1703,1867,1753,1817,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene7-camera1.mov,Lexical Signs,DISH
2908,DISH,DISH,DISH,1314,1434,1364,1384,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DISH
2909,DISH,DISH,DISH,716,828,766,778,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2006_10_10_scene21-camera1.mov,Lexical Signs,DISH
207939,DISH,DISH,DISH,653,768,703,718,L-X,L-X,L-X,L-X,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs,DISH
2911,DISH,DISH-pl,DISH-pl,300,450,350,400,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene2-camera1.mov,Lexical Signs,DISH
2912,DISH,DISH-pl,DISH-pl,1563,1696,1613,1646,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DISH
2913,DISMISS,DISMISS,DISMISS,2217,2345,2267,2295,bent-B,B-L,bent-B,B-L,ASL_2008_01_18_scene19-camera1.mov,Lexical Signs,DISMISS
2914,DISMISS,DISMISS,DISMISS,2147,2290,2197,2240,B-L,B-L,B-L,B-L,ASL_2008_02_01_scene44-camera1.mov,Lexical Signs,DISMISS
2915,DISMISS,DISMISS,DISMISS,2270,2396,2320,2346,B-L,B-L,B-L,B-L,ASL_2008_05_12b_scene18-camera1.mov,Lexical Signs,DISMISS
2916,DISMISS,DISMISS,DISMISS,2525,2655,2575,2605,bent-B,B-L,bent-B,B-L,ASL_2008_05_29a_scene27-camera1.mov,Lexical Signs,DISMISS
2917,DISMISS,DISMISS,DISMISS,2191,2317,2241,2267,B,B-L,B,B-L,ASL_2008_05_29b_scene17-camera1.mov,Lexical Signs,DISMISS
2918,DISMISS,DISMISS,DISMISS,2531,2665,2581,2615,bent-B,B-L,bent-B,B-L,ASL_2008_08_06_scene19-camera1.mov,Lexical Signs,DISMISS
2919,DISMISS,DISMISS,DISMISS,4297,4427,4347,4377,bent-B,B-L,bent-B,B-L,ASL_2008_08_13_scene37-camera1.mov,Lexical Signs,DISMISS
2920,DISMISS,DISMISS,DISMISS,2936,3053,2986,3003,bent-B-L,flat-B,bent-B-L,flat-B,ASL_2011_06_14_Brady_scene47-camera1.mov,Lexical Signs,DISMISS
2921,DISMISS,DISMISS,DISMISS,2434,2566,2484,2516,B-L,B-L,B-L,B-L,ASL_2007_05_24_scene18-camera1.mov,Lexical Signs,DISMISS
2922,DISTRIBUTE,DISTRIBUTE,DISTRIBUTE,515,636,565,586,flat-O,flat-O,crvd-5,crvd-5,ASL_2008_01_18_scene20-camera1.mov,Lexical Signs,DISTRIBUTE
2923,DISTRIBUTE,DISTRIBUTE,DISTRIBUTE,101,230,151,180,flat-O,flat-O,5,5,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DISTRIBUTE
2924,DISTRIBUTE,DISTRIBUTE,DISTRIBUTE,2705,2830,2755,2780,flat-O,flat-O,5,5,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DISTRIBUTE
2925,DIVE,DIVE,DIVE,1271,1405,1321,1355,B-L,B-L,B-L,B-L,ASL_2008_01_18_scene20-camera1.mov,Lexical Signs,DIVE
2926,DIVE,DIVE,DIVE,1155,1290,1205,1240,B-L,B-L,B-L,B-L,ASL_2008_05_12b_scene19-camera1.mov,Lexical Signs,DIVE
2927,DIVE,DIVE,DIVE,3797,3921,3847,3871,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVE
2933,DIVE,DIVE_2,DIVE_2,1000,1130,1050,1080,B-L,B-L,B-L,B-L,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DIVE
2928,DIVE-OFF-BOARD,DIVE-OFF-BOARD,DIVE-OFF-BOARD,1501,1646,1551,1596,U,B,U,B,ASL_2008_01_18_scene20-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2929,DIVE-OFF-BOARD,DIVE-OFF-BOARD,DIVE-OFF-BOARD,1395,1531,1445,1481,U,B,U,B,ASL_2008_05_12b_scene19-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2930,DIVE-OFF-BOARD,DIVE-OFF-BOARD,DIVE-OFF-BOARD,1245,1375,1295,1325,U,B-L,U,B-L,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2931,DIVE-OFF-BOARD,DIVE-OFF-BOARD_2,DIVE-OFF-BOARD_2,4112,4242,4162,4192,U,U,U,U,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2932,DIVE-OFF-BOARD,DIVE-OFF-BOARD_2,DIVE-OFF-BOARD_2,3714,3843,3764,3793,U,U,U,U,ASL_2011_07_22_Brady_scene41-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2934,DIVIDE,DIVIDE,DIVIDE,1716,1839,1766,1789,B,B,B,B,ASL_2008_01_18_scene20-camera1.mov,Lexical Signs,DIVIDE
2935,DIVIDE,DIVIDE,DIVIDE,1649,1762,1699,1712,B,B,B,B,ASL_2008_05_12b_scene19-camera1.mov,Lexical Signs,DIVIDE
2936,DIVIDE,DIVIDE,DIVIDE,1475,1592,1525,1542,B-L,B-L,B-L,B-L,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DIVIDE
2937,DIVIDE,DIVIDE,DIVIDE,4427,4537,4477,4487,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVIDE
2938,DIVORCE,DIVORCE,DIVORCE,1936,2065,1986,2015,D,D,D,D,ASL_2008_01_18_scene20-camera1.mov,Lexical Signs,DIVORCE
2939,DIVORCE,DIVORCE,DIVORCE,1892,2020,1942,1970,D,D,D,D,ASL_2008_05_12b_scene19-camera1.mov,Lexical Signs,DIVORCE
2940,DIVORCE,DIVORCE,DIVORCE,1751,1866,1801,1816,D,D,D,D,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DIVORCE
2941,DIVORCE,DIVORCE,DIVORCE,4993,5107,5043,5057,D,D,D,D,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVORCE
2942,DIVORCE,DIVORCE,DIVORCE,2074,2184,2124,2134,D,D,D,D,ASL_2006_10_10_scene7-camera1.mov,Lexical Signs,DIVORCE
2943,DIVORCE,DIVORCE,DIVORCE,2226,2370,2276,2320,D,D,D,D,ASL_2007_05_24_scene11-camera1.mov,Lexical Signs,DIVORCE
2944,DIZZY,DIZZY,DIZZY+,5212,5379,5262,5329,crvd-5,,crvd-5,,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIZZY
2945,DIZZY,DIZZY,DIZZY++,2130,2310,2180,2260,crvd-5,,crvd-5,,ASL_2008_01_18_scene20-camera1.mov,Lexical Signs,DIZZY
2946,DIZZY,DIZZY,DIZZY++,2087,2245,2137,2195,crvd-5,,crvd-5,,ASL_2008_05_12b_scene19-camera1.mov,Lexical Signs,DIZZY
2947,DIZZY,DIZZY,DIZZY++,3031,3215,3081,3165,crvd-5,,crvd-5,,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DIZZY
2948,DO,DO,DO+,3945,4115,3995,4065,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_08_06_scene20-camera1.mov,Lexical Signs,DO
2949,DO,DO,DO+,5497,5634,5547,5584,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DO
2950,DO,DO,DO+,6249,6380,6299,6330,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DO
2951,DO,DO,DO++,177,345,227,295,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_01_18_scene21-camera1.mov,Lexical Signs,DO
172,DO-DO,(1h)DO-DO,(1h)DO-DO+,341,475,391,425,G,,baby-O,,ASL_2008_02_15_scene25-camera1.mov,Lexical Signs,DO-DO
2952,DO-DO,DO-DO,DO-DO+,9794,9925,9844,9875,G,G,flat-G,flat-G,ASL_2011_06_14_Brady_scene28-camera1.mov,Lexical Signs,DO-DO
2953,DO-DO,DO-DO,DO-DO++,2322,2475,2372,2425,G,G,flat-G,flat-G,ASL_2008_05_12b_scene19-camera1.mov,Lexical Signs,DO-DO
2954,DO-DO,DO-DO,DO-DO+++,342,482,392,432,G,G,baby-O,baby-O,ASL_2011_07_22_Brady_scene28-camera1.mov,Lexical Signs,DO-DO
39014,"DO-DO+\WHAT\""""","DO-DO+\WHAT\""""","DO-DO+\WHAT\""""",1447,1582,1497,1532,U-L,U-L,crvd-sprd-B,crvd-sprd-B,ASL_2008_03_28_scene39-camera1.mov,Compound Signs,"DO-DO+\WHAT\"""""
39820,DO-DO+HAPPEN,DO-DO+HAPPEN,DO-DO+HAPPEN,628,758,678,708,G,G,1,1,ASL_2011_07_22_Brady_scene28-camera1.mov,Compound Signs,DO-DO+HAPPEN
493,DOCTOR,(D)DOCTOR,(D)DOCTOR+,605,747,655,697,D,psv,D,psv,ASL_2008_01_18_scene21-camera1.mov,Lexical Signs,DOCTOR
494,DOCTOR,(D)DOCTOR,(D)DOCTOR+,1220,1345,1270,1295,D,psv,D,psv,ASL_2008_08_06_scene21-camera1.mov,Lexical Signs,DOCTOR
207748,DOCTOR,DOCTOR,DOCTOR,1415,1541,1465,1491,bent-B,psv,bent-B,psv,ASL_2008_08_06_scene21-camera1.mov,Lexical Signs,DOCTOR
2956,DOCTOR,DOCTOR,DOCTOR+,805,941,855,891,bent-B,psv,bent-B,psv,ASL_2008_01_18_scene21-camera1.mov,Lexical Signs,DOCTOR
2957,DOCTOR,DOCTOR,DOCTOR+,1017,1145,1067,1095,bent-B-L,B-L,bent-B-L,B-L,ASL_2008_08_04_scene28-camera1.mov,Lexical Signs,DOCTOR
2958,DOCTOR,DOCTOR,DOCTOR+,603,731,653,681,bent-B-L,A,bent-B-L,A,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,DOCTOR
2959,DOCTOR,DOCTOR,DOCTOR+,2206,2333,2256,2283,bent-B,B-L,bent-B,B-L,ASL_2006_10_10_scene7-camera1.mov,Lexical Signs,DOCTOR
2960,DOCTOR,DOCTOR,DOCTOR+,2362,2515,2412,2465,bent-B-L,B-L,bent-B-L,B-L,ASL_2007_05_24_scene11-camera1.mov,Lexical Signs,DOCTOR
2961,DOCTOR,DOCTOR,DOCTOR++,8082,8220,8132,8170,bent-B-L,A,bent-B-L,A,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DOCTOR
2962,DOCTOR,DOCTOR,DOCTOR+++,2676,2835,2726,2785,crvd-flat-B,flat-B,crvd-flat-B,flat-B,ASL_2008_05_29a_scene1-camera1.mov,Lexical Signs,DOCTOR
42,#DOG,#DOG,#DOG+,3896,4034,3946,3984,D,,flat-G,,ASL_2008_05_29a_scene1-camera1.mov,Loan Signs,DOG
43,#DOG,#DOG,#DOG+,1657,1780,1707,1730,D,,baby-O,,ASL_2008_08_06_scene21-camera1.mov,Loan Signs,DOG
44,#DOG,#DOG,#DOG+,780,901,830,851,D,,G,,ASL_2011_06_08_Brady_scene37-camera1.mov,Loan Signs,DOG
45,#DOG,#DOG,#DOG+,590,712,640,662,D,,G,,ASL_2006_10_10_scene7-camera1.mov,Loan Signs,DOG
